German,English
stehen,to stand
sterben,to die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,meet
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,Mom
verrückt,insane
neue,new
ging,went
hinter,Behind
sorgen,care for
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,entire
spät,late
ziemlich,pretty much
solltest,ward
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,Looking for
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hearing
verstehen,to understand
spielen,play
s.,S.
überhaupt,at all
teufel,Devil
verstanden,Roger that
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,treasure
endlich,at last
he,head
nimm,take
etwa,about
erzählt,told
läuft,running
schwer,heavy
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
wahrheit,truth
woche,week
bringt,brings
deshalb,for this reason
welche,Which
bestimmt,certainly
hoch,high
alter,age
sagst,tell
schau,show
ah,Ah
land,country
zimmer,room
wagen,dare
vier,four
gefallen,like
spaß,fun
niemals,No way
schuld,fault
getötet,killed
wollten,wanted to
verlassen,leaving
zeigen,demonstrate
beste,best
ernst,serious
unserer,our
denen,to them
ort,location
bleibt,remains
würdest,thought
manchmal,sometimes
glaubst,believe
seite,side
lasst,leaves
zwischen,in between
eben,just
während,while
spiel,game
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,war
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,day
entschuldigen,to apologize
wichtig,important
gehst,go
allen,all
bett,bed
mrs.,MRS.
sachen,stuff
the,the
schlecht,bad
schule,school
entschuldigung,excuse
wort,word
john,John
hättest,had
wären,be
typ,Type
schlafen,sleep
äh,Ah
tu,tu
euer,your
captain,captain
gesicht,face
falls,if
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,person
kleiner,smaller
stellen,place
oft,often
sorge,worries
gedacht,thought
tust,tu
trinken,drink
einige,some
dies,this
ding,thing
unseren,Our
kriegen,get
blut,blood
ehrlich,Honestly
eltern,parents
scheint,seems
herz,heart
jack,Jack
glücklich,happy
alte,old
alt,old
bleib,stay
wiedersehen,reunion
frei,free
wen,whom
drauf,on it
möglich,possible
irgendwie,somehow
reicht,suffices
fest,fixed
besten,best
waffe,weapon
kaum,barely
irgendwas,anything
klingt,sound
platz,space
brauchst,need
rede,speech
papa,father
falsch,not correct
sondern,but
alten,old
nummer,number
früher,earlier
jungen,boys
wohin,where
außer,apart from
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,to be allowed to
jede,every
arsch,ass
telefon,phone
tue,do
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,rescue
hierher,here
wär,would be
bring,bring
fehler,error
wollt,want
dollar,dollar
zehn,ten
allem,all
pass,passport
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,amount
langsam,slow
bereits,already
wartet,wait
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,giving
wochen,weekly
ruf,call
schaffen,create
leider,Unfortunately
scheiß,shit
hölle,hell
trotzdem,Nevertheless
doktor,doctor
tja,well
new,New
voll,fully
film,Movie
überall,everywhere
hund,dog
geworden,become
direkt,direct
wolltest,wanted
tat,did
denkt,thinks
schiff,ship
neues,new
wem,whom
könig,king
danach,after that
funktioniert,functions
hattest,had
lernen,learn
deswegen,because of this
wow,Wow
nennen,to name
hm,Hm
feuer,Fire
laufen,to run
alleine,alone
erinnern,recall
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,air
fand,found
i,I
entschuldige,Excuse me
ziehen,draw
verschwinden,disappear
könntest,could
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,seek
zwar,that is
groß,big
hol,hold
buch,a book
krank,Sick
fühle,feel
jedes,each
verstehst,understand
wert,value
arzt,physician
froh,joyful
versuche,tries
straße,Street
rufen,to shout
heiraten,to marry
super,Super
sam,sam
lebt,lives
gutes,good
lasse,laser
onkel,uncle
total,total
gebracht,brought
party,party
erklären,explain
spielt,play
wahl,choice
vertrauen,trust
damals,back then
tagen,days
leicht,light
nachdem,after
gegangen,gone
gefühl,feeling
kaufen,to buy
geschafft,Done
typen,types
interessiert,Interested
möchten,want
halte,hold
hält,hold
glaub,belie
irgendwo,somewhere
stück,piece
genauso,just like that
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,light
getroffen,met
himmel,heaven
nachricht,news
drüben,over there
passt,fits
sagten,told
kümmern,To take care of
laut,loud
vergiss,forget
angerufen,called
sitzen,sit
daß,that
erde,Earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,prison
opfer,victim
körper,body
solche,such
mist,damn
mr,mr
findet,find
schreiben,to write
böse,angry
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,About what
sobald,as soon as
nochmal,once again
herren,Men's
sex,sex
waffen,weapons
wohnung,apartment
weh,sore
heißen,mean
krankenhaus,hospital
bringe,bring
höre,hear
millionen,millions
klasse,Great
hart,hard
worden,has been
sinn,sense
außerdem,in addition
verletzt,hurt
ändern,to change
erfahren,Experienced
tragen,wear
wenigstens,at least
vorsichtig,carefully
daddy,daddy
stolz,proud
stark,strong
fällt,fall
möchtest,want
leuten,people
besonders,particularly
schöne,lovely
schicken,send
person,person
schätze,treasures
solange,so long
länger,longer
großartig,Great
lacht,laugh
anrufen,call up
stand,was standing
redest,talk
fühlen,feel
erwartet,expected
boden,floor
boss,boss
stimme,voice
glaubt,believe
still,quiet
sicherheit,security
setz,sitting
ma,ma
mund,mouth
kämpfen,battle
wisst,scoff
lachen,laugh
hörst,hear
zeug,things
lustig,fun
umbringen,kill
sollst,shorter
hasse,hate
schlimm,terrible
o,O
unglaublich,unbelievable
wärst,be
laden,load
führen,to lead
gestorben,died
schauen,watch
meinung,opinion
lesen,read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,business
idiot,idiot
verzeihung,forgiveness
fliegen,to fly
zeig,show
team,team
general,general
mike,mike
aufs,onto
york,York
vorher,before
schluss,Enough
schneller,more quickly
liebt,loving
verdient,deserved
mögen,like
meisten,most
denk,think
umgebracht,killed
perfekt,Perfect
versprochen,promised
handy,mobile
hinten,rear
monate,months
erinnere,recall
acht,eight
arbeitet,is working
fallen,fall
rufe,call
nötig,necessary
a,a
mord,murder
heraus,out
tages,day
unmöglich,not possible
liebling,favorite
charlie,Charlie
tatsächlich,indeed
folgen,follow
bitten,ask
behalten,keep
nähe,vicinity
arbeite,work
joe,joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,go
tisch,table
michael,Michael
hörte,heard
jemals,ever
liegen,to lie
verkaufen,Selling
gefährlich,dangerous
anfangen,begin
bekommt,gets
machte,bother
ha,Ha
hotel,hotel
hilft,help
werdet,become
meister,master
kampf,struggle
antwort,reply
konnten,could
geschickt,sent
jedem,each
obwohl,although
sieben,seven
komisch,strange
gewinnen,to win
ihres,Yours
bezahlt,paid
you,you
voller,full of
unterwegs,On the way
dumm,stupid
ärger,aggravation
bild,image
george,George
neu,New
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,Tom
monaten,monthly
leiche,corpse
niemanden,no one
auge,eye
arschloch,asshole
verheiratet,married
peter,Peter
zieh,pull
nimmt,takes
gerettet,rescued
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,catch
fort,forth
ständig,constant
findest,find
gefahr,danger
absolut,absolutely
mary,Mary
augenblick,moment
bescheid,notice
rum,rum
gedanken,thoughts
werd,be
ziel,goal
benutzt,used
bewegung,Move
jemandem,someone
wünschte,wished
worte,words
kamen,came
welcher,which
